cleaned_Addresses,lat,lng
2121 238th St Torrance CA 90501-6116,33.8083999071,-118.31778802
21717 Talisman ST. Torrance CA 90503-6441,33.832069888,-118.357258498
1314 Fern AVE. Torrance CA 90503-6125,33.8352090355,-118.332247292
2800 W. 227th ST. Torrance CA 90505-2912,33.8200236877,-118.334996274
17800 Van Ness AVE. Torrance CA 90504-4330,33.8691028934,-118.317783978
4100 227th ST. Torrance CA 90505-2246,33.8223860197,-118.3566189
3800 182nd St Torrance CA 90504-4837,33.8655179493,-118.340045124
2080 W. 231st ST. Torrance CA 90501-5448,33.815604126,-118.317212028
2418 W. 166th ST. Torrance CA 90504-1813,33.8800951826,-118.32099829
365 Paseo De Arena Torrance CA 90505-6226,33.8084533673,-118.374360368
4800 Calle Mayor Torrance CA 90505-4401,33.8156796349,-118.364446346
21364 Madrona AVE. Torrance CA 90503-5948,33.83487017,-118.344854913
17220 Casimir AVE. Torrance CA 90504-2936,33.8743384019,-118.322148679
5038 Halison ST. Torrance CA 90503-1920,33.8512643487,-118.363277166
4100 W. 185th ST. Torrance CA 90504-4706,33.8626641297,-118.345996226
4651 Sharynne LN. Torrance CA 90505-3355,33.8204156492,-118.363408936
3620 W. 182nd ST. Torrance CA 90504-3935,33.8655513996,-118.335706665
4801 Pacific Coast HWY. Torrance CA 90505-5544,33.8108914717,-118.365611349
2125 Lincoln AVE. Torrance CA 90501-4437,33.8235463538,-118.32045201
2200 Carson ST. Torrance CA 90501-3135,33.8313540699,-118.321364888
2250 W. 235th ST. Torrance CA 90501-5705,33.8127199571,-118.32128851
5600 Towers ST. Torrance CA 90503-1161,33.8540000225,-118.376197705
4820 Spencer ST. Torrance CA 90503-2254,33.8449493875,-118.364991327
24456 Madison ST. Torrance CA 90505-6653,33.8008192941,-118.347806903
600 Morning Glory DR. Vacaville CA 95687-1032,38.3263239288,-121.966409161
20401 Victor ST. Torrance CA 90503-2255,33.8459285325,-118.36680281
17815 Yukon AVE. Torrance CA 90504-3927,33.8687855442,-118.335186872
100 Cambridge DR. Vacaville CA 95687-6900,38.3332261482,-121.952207532
100 Fairfield AVE. Travis Afb CA 94535-1000,38.2714736765,-121.954611594
300 Trinity ST. Trinidad CA 95570-3030,41.0604901914,-124.143165787
2951 Markeley LN. Fairfield CA 94533-6513,38.2831971083,-121.963793104
3101 Markeley Ln Fairfield CA 94533-1000,38.2830592017,-121.955548057
2651 De Ronde DR. Fairfield CA 94533-9709,38.2770301584,-121.960513913
100 BRD.WAY ST. Travis Afb CA 94535-1558,38.2720525881,-121.944901044
1 Trinity Vista DR. Trinity Center CA 96091-0127,40.9830774867,-122.706224048
5635 Airline HWY. Tres Pinos CA 95075-0188,36.778073723,-121.31147312
36736 Canal DR. Traver CA 93673-0069,36.4575823318,-119.482376903
83600 Trona RD. Trona CA 93562-2101,35.7719294777,-117.368610739
83600 Trona RD. Trona CA 93562-2101,35.7719294777,-117.368610739
540 N. Cherry ST. Tulare CA 93274-2918,36.2155987856,-119.337625641
640 E. Pleasant AVE. Tulare CA 93274-2124,36.2183097595,-119.341168874
909 E. Cedar AVE. Tulare CA 93274-5615,36.199594445,-119.335524783
1870 S. Laspina ST. Tulare CA 93274-6962,36.1879751206,-119.324406255
500 S. Laspina ST. Tulare CA 93274-5929,36.2055766085,-119.322064184
1046 W. Sonora AVE. Tulare CA 93274-5042,36.2007692816,-119.361966678
1001 W. Sonora AVE. Tulare CA 93274-5041,36.200722819,-119.361010538
980 N. Laspina ST. Tulare CA 93274-2338,36.2201516403,-119.321955771
640 W. Cross AVE. Tulare CA 93274-2616,36.2116817695,-119.357892762
2975 E. Alpine AVE. Tulare CA 93274,36.2021472489,-119.320579189
895 W. Gail AVE. Tulare CA 93274,36.2293027979,-119.358058936
955 E. Tulare AVE. Tulare CA 93274-4443,36.2096167435,-119.334418702
1855 W. Pleasant AVE. Tulare CA 93274-1765,36.2182034201,-119.372858883
351 N. K ST. Tulare CA 93274-4347,36.2114608834,-119.346887298
755 E. Tulare AVE. Tulare CA 93274-4353,36.2091728651,-119.338434845
824 W. Maple AVE. Tulare CA 93274-2699,36.2146380524,-119.359569468
3442 E. Bardsley AVE. Tulare CA 93274,36.1964382437,-119.298239083
1695 Bella Oaks DR. Tulare CA 93274,36.2342456616,-119.320933737
13601 Browning AVE. Tustin CA 92780-5212,33.7334312181,-117.804250966
801 W. Gail AVE. Tulare CA 93274,36.2293047044,-119.357919872
12712 Elizabeth Way Tustin CA 92780-2811,33.751389762,-117.805348899
850 Main ST. Tulelake CA 96134-0547,41.9502312732,-121.476646106
1151 San Juan ST. Tustin CA 92780,33.7392344101,-117.816782785
11112 Coronel RD. Santa Ana CA 92705-2492,33.7671442808,-117.786628096
461 Second ST. Tulelake CA 96134-0788,41.9552915425,-121.478006675
17952 Beneta Way Tustin CA 92780-2659,33.7510727366,-117.820039286
1402 Sycamore AVE. Tustin CA 92780-6233,33.7267375578,-117.826026633
12950 Robinson DR. Tustin CA 92782-0921,33.7348729833,-117.788153779
14741 N. B ST. Tustin CA 92780-2529,33.7492708217,-117.825872782
19251 Dodge AVE. Santa Ana CA 92705-2236,33.7659484433,-117.797619079
1171 El Camino Real Tustin CA 92780-4660,33.7356352424,-117.817775819
15571 Williams ST. Tustin CA 92780-4146,33.7371807399,-117.839511857
13232 Hewes AVE. Santa Ana CA 92705-2246,33.7702073033,-117.805547039
14392 Browning AVE. Tustin CA 92780-6338,33.7240486712,-117.813528614
13822 Prospect AVE. Santa Ana CA 92705-2690,33.7626278378,-117.820426243
12712 Browning AVE. Santa Ana CA 92705-3465,33.7435294023,-117.794098001
1402 Sycamore AVE. Tustin CA 92780-6233,33.7267375578,-117.826026633
1701 San Juan ST. Tustin CA 92780-5204,33.7345746062,-117.810133414
26900 Peters Canyon RD. Tustin CA 92782-3300,33.7542639674,-117.769328079
2515 Rawlings Way Tustin CA 92782-5111,33.7463325108,-117.780110432
18492 Vanderlip AVE. Santa Ana CA 92705-3242,33.7567841655,-117.810313815
3181 Trevino DR. Irvine CA 92602-0795,33.7348042166,-117.776753694
3588 Bryan AVE. Irvine CA 92602,33.7184366265,-117.780345869
11911 Red Hill AVE. Santa Ana CA 92705,33.7565519101,-117.792470916
1362 Mitchell AVE. Tustin CA 92780-5746,33.7321771036,-117.820315517
3817 Viewpark Irvine CA 92602,33.726728838,-117.771518871
11555 Culver DR. Irvine CA 92602,33.7372170743,-117.757987924
2700 Pioneer RD. Tustin CA 92782,33.7503384501,-117.772229093
1685 Water Trough RD. Sebastopol CA 95472-4647,38.3791651209,-122.83526992
700 Water Trough RD. Sebastopol CA 95472-3917,38.3883437582,-122.850693899
7285 Hayden AVE. Sebastopol CA 95472,38.3938527694,-122.823458763
700 Water Trough RD. Sebastopol CA 95472,38.3883437582,-122.850693899
495 Washington ST. Ukiah CA 95482-6324,39.1339562243,-123.213796953
18815 Manzanita DR. Twain Harte CA 95383,38.0403760513,-120.228452107
400 Oak Manor DR. Ukiah CA 95482-5120,39.1484950602,-123.192383985
1060 N. Bush ST. Ukiah CA 95482-3865,39.1613839756,-123.214653409
5001 Spring Hill RD. Petaluma CA 94952-9639,38.2560705552,-122.778679132
1000 Low Gap RD. Ukiah CA 95482-3737,39.1618854825,-123.22265888
740 N. Spring ST. Ukiah CA 95482-3937,39.1548817954,-123.216032533
1059 N. State ST. Ukiah CA 95482-3413,39.1652330299,-123.210583805
151 Moore ST. Ukiah CA 95482-9547,39.2342433758,-123.205433301
241 Ford RD. Ukiah CA 95482-3440,39.1674723103,-123.206529973
555 Leslie ST. Ukiah CA 95482-5507,39.1468656442,-123.201344609
790 S. Dora ST. Ukiah CA 95482-5348,39.1424529237,-123.210759862
8601 W. RD. Redwood Valley CA 95470,39.2673398714,-123.219863774
1031 N. State ST. Ukiah CA 95482-3413,39.1649730413,-123.210505132
251 Jefferson LN. Ukiah CA 95482,39.1238067635,-123.207155891
200 Blossom Valley RD. Los Gatos CA 95032-3809,37.2398951288,-121.940741799
1855 Lencar Way San Jose CA 95124-3603,37.2555179427,-121.918759833
2421 Carlton AVE. San Jose CA 95124-4949,37.248246968,-121.946426626
5575 Dartmouth DR. San Jose CA 95118-3332,37.2397546978,-121.896281041
6044 Vera Cruz DR. San Jose CA 95120-4863,37.2277968883,-121.896899082
11638 Colfax HWY. Grass Valley CA 94945,39.2045863698,-121.038217906
1755 Gilda Way San Jose CA 95124-6207,37.2377504831,-121.913774505
679 Second ST. Upper Lake CA 95485-0036,39.1657531177,-122.903389899
725 Old Lucerne RD. Upper Lake CA 95485-0036,39.1639931616,-122.901918996
5300 Carter AVE. San Jose CA 95118-2813,37.2420072414,-121.902229136
11638 Colfax HWY. Grass Valley CA 95945-8805,39.2047891732,-121.038352957
2130 Los Gatos-almaden RD. San Jose CA 95124-5418,37.2433835711,-121.935179871
188-b Bella Vista RD. Vacaville CA 95687-3719,38.3484083779,-121.987821724
805 N. Orchard AVE. Vacaville CA 95688-2138,38.3768825363,-122.004494461
675 Clover Valley RD. Upper Lake CA 95485-0007,39.1657682695,-122.902613654
5300 Red Hill RD. Petaluma CA 94952-9445,38.1853597262,-122.666083143
400 Hemlock ST. Vacaville CA 95688-2616,38.3644895844,-122.001573714
200 Padan Sch RD. Vacaville CA 95687-5444,38.3400675032,-121.956362663
500 S. Orchard AVE. Vacaville CA 95688-4334,38.3528759967,-122.001624048
200 Keith Way Vacaville CA 95687-5189,38.350215973,-121.952981584
333 Wretham DR. Vacaville CA 95688-9290,38.3831017673,-121.983446772
750 Christine DR. Vacaville CA 95687-4163,38.3562946103,-121.944047252
101 Markham AVE. Vacaville CA 95688-2312,38.3707926844,-121.977750991
100 Monte Vista AVE. Vacaville CA 95688-3829,38.3591020428,-121.992193583
580 Elder ST. Vacaville CA 95688-2531,38.3625581887,-122.00661893
129 Elm ST. Vacaville CA 95688,38.3525633564,-121.990736994
6261 Vanden RD. Vacaville CA 95687-7294,38.3434232398,-121.942929977
998 Marshall RD. Vacaville CA 95687-5735,38.3455213428,-121.976039355
400 Hemlock ST. Vacaville CA 95688-2616,38.3644895844,-122.001573714
11033 E. Central AVE. South El Monte CA 91733-3907,34.0416223263,-118.043457249
1355 Marshall RD. Vacaville CA 95687-5519,38.3463432836,-121.967118992
4545 Moran RD. Avery CA 95224-0329,38.2049394915,-120.36699561
196 Pennsylvania Gulch RD. Murphys CA 95247-0329,38.1332713674,-120.45247411
5211 Fifth ST. Rainbow CA 92028-9795,33.4201507214,-117.147687706
1431 N. Central AVE. South El Monte CA 91733-3388,34.0443744056,-118.046761763
1605 Blagen RD. Arnold CA 95223-0329,38.2642665752,-120.341568485
1530 Lorenzo DR. Vallejo CA 94589-1614,38.1493453019,-122.259456478
5253 Fifth ST. Fallbrook CA 92028-9795,33.413906723,-117.148349587
400 Rickover ST. Vallejo CA 94592-4309,38.095222138,-122.273402476
3620 Fernwood DR. Vallejo CA 94591-6648,38.0987703169,-122.21197182
100 N. Rancho Sante Fe RD. San Marcos CA 92078,33.1496495175,-117.198641897
612 Del Mar ST. Vallejo CA 94589-2605,38.1258173105,-122.238605596
1450 Coronel AVE. Vallejo CA 94591-7921,38.0872283125,-122.224692307
100 Whitney DR. Vallejo CA 94589-2194,38.1471091305,-122.245770642
415 Daniels ST. Vallejo CA 94590-3040,38.1221272303,-122.267809209
850 Rosewood AVE. Vallejo CA 94591-5647,38.1016875908,-122.216012446
620 Carolina ST. Vallejo CA 94590-5504,38.1040654136,-122.254474712
1025 Corcoran AVE. Vallejo CA 94589-1844,38.154355828,-122.240298257
146 Rainier ST. Vallejo CA 94589-1846,38.1507312831,-122.243875829
770 Tregaskis AVE. Vallejo CA 94591-4804,38.1076941457,-122.222867315
1309 Ensign AVE. Vallejo CA 94590-3949,38.1147186557,-122.234403151
815 Cedar ST. Vallejo CA 94591-6531,38.100299382,-122.224185528
501 Starr AVE. Vallejo CA 94590-7154,38.0979377434,-122.232523285
840 Nebraska ST. Vallejo CA 94590-3368,38.1136675155,-122.246953324
13231 Pioneer AVE. Valley Home CA 95361-9999,37.8304592941,-120.915118215
1080 Porter ST. Vallejo CA 94590-7742,38.0797477239,-122.238264049
1800 Ascot PKWY. Vallejo CA 94591,38.1209383859,-122.207454376
247 Hill RD. Ventura CA 93003-4401,34.2762536702,-119.208562791
1698 Oakwood AVE. Vallejo CA 94591-4145,38.1179088586,-122.210925409
2 Positive PL. Vallejo CA 94589-1825,38.1505934881,-122.245525629
100 S. Mills RD. Ventura CA 93003-3434,34.2721017836,-119.247451359
2 Positive PL. Vallejo CA 94589-1825,38.1505934881,-122.245525629
501 Glen Cove PKWY. Vallejo CA 94591-7537,38.0744098842,-122.206796277
2833 Tennessee St Vallejo CA 94591-4948,38.1090910806,-122.214884996
5080 Elmhurst ST. Ventura CA 93003-3999,34.2724754087,-119.226272591
1426 E. Santa Clara ST. Ventura CA 93001-3211,34.2796236304,-119.279957687
450 Valmore AVE. Ventura CA 93003-4799,34.2659245626,-119.254250967
5670 Telegraph RD. Ventura CA 93003-4204,34.2775681265,-119.217261789
2050 Grand AVE. Ventura CA 93003-6729,34.255546691,-119.207677605
20 Pleasant PL. Ventura CA 93001-1326,34.2969131579,-119.297525777
300 Lynn DR. Ventura CA 93003-1036,34.2782280004,-119.250266005
1254 Marthas Vineyard CT. Ventura CA 93001,34.2585507792,-119.270650104
2060 Cameron ST. Ventura CA 93001-1425,34.3012565596,-119.292493496
350 N. Victoria AVE. Ventura CA 93003-2344,34.2838644285,-119.215855134
6700 Eagle ST. Ventura CA 93003-6255,34.2654656475,-119.201307366
100 S. Crocker AVE. Ventura CA 93004-1535,34.2813898854,-119.190399472
2 N. Catalina ST. Ventura CA 93001-3503,34.2777780076,-119.268971025
8880 Halifax ST. Ventura CA 93004-2623,34.2681487964,-119.173430284
573 Sheridan Way Ventura CA 93001-1852,34.2893131771,-119.304413087
316 Howard ST. Ventura CA 93003-4531,34.271350409,-119.263433691
760 Jazmin AVE. Ventura CA 93004-1826,34.2846505718,-119.160137568
455 S. Hill RD. Ventura CA 93003-4402,34.2733654974,-119.207964065
100 Day RD. Ventura CA 93003,34.2781956626,-119.226820959
9655 Darling RD. Ventura CA 93004,34.2777840564,-119.170059836
1107 E. Santa Clara ST. Ventura CA 93001-3125,34.2795880505,-119.283766603
17246 Gibralter DR. Victorville CA 92395-3360,34.5052136599,-117.286597275
15907 S. Mojave DR. Victorville CA 92395-3952,34.527820152,-117.300324144
13962 Hook BLVD. Victorville CA 92392-5770,34.5214457654,-117.359213552
400 Sunset AVE. Oak View CA 93022-9742,34.3911034348,-119.305151863
15332 Del Rey DR. Victorville CA 92395-7118,34.5286913657,-117.308639243
15476 Sixth ST. Victorville CA 92392-5770,34.5341049535,-117.29705465
13247 Amethyst RD. Victorville CA 92392-5770,34.4911684286,-117.36429655
13427 Cahuenga RD. Victorville CA 92392-5770,34.4948634452,-117.33874525
17000 Silica DR. Victorville CA 92395-5770,34.4782513275,-117.292396879
14711 Mojave DR. Victorville CA 92392-5770,34.5284496972,-117.342207622
12900 Amethyst RD. Victorville CA 92392-5770,34.4850013933,-117.364339047
12900 Amethyst RD. Victorville CA 92395-3360,34.4850013933,-117.364339047
16100 Burwood AVE. Victorville CA 92395-9677,34.4798816051,-117.312239638
15887 Acad ST. Victorville CA 92392-3348,None,None
12571 First AVE. Victorville CA 92395-7810,34.479508694,-117.294996234
14777 Hopland ST. Victorville CA 92392-5770,34.5431441743,-117.340869747
4711 W. La Vida Visalia CA 93277-1219,52.365179973,4.870370033
14375 Del Gado RD. Victorville CA 92392-5770,34.5135474884,-117.342632136
12403 Ridgecrest RD. Victorville CA 92395-5770,34.4763997197,-117.277274782
814 S. Sowell Visalia CA 93277-2467,36.323920223,-119.303203498
8301 Sunset BLVD. Bakersfield CA 93307-9289,35.2232714939,-118.91217679
214 E. Ferguson ST. Visalia CA 93291-2006,36.3495579053,-119.290389213
6600 W. Hurley AVE. Visalia CA 93291-8812,36.3345619404,-119.365110394
14327 Vineland RD. Bakersfield CA 93307-9463,35.2245311428,-118.896115963
32747 RD. 138 Visalia CA 93292-9381,36.3844787953,-119.265411949
3001 W. Whitendale AVE. Visalia CA 93277-6077,36.3055926207,-119.32278917
1051 Robin DR. Visalia CA 93291-1835,36.3541827426,-119.301969957
6505 AVE. 308 Visalia CA 93291-0133,36.3489529934,-119.4281891
1200 S. Divisadero Visalia CA 93277-4518,36.3206381301,-119.30982838
16030 AVE. 332 Ivanhoe CA 93235-0158,None,None
1147 N. Mooney BLVD. Visalia CA 93291-3224,36.3393198567,-119.31428382
1001 W. Main ST. Visalia CA 93291-5919,36.3300526983,-119.303278851
1717 N. Mcauliff RD. Visalia CA 93292-9310,36.3449109221,-119.252073458
3333 E. Kaweah AVE. Visalia CA 93292-3313,36.3255857432,-119.255913442
3129 S. Linwood AVE. Visalia CA 93277-6927,36.3012710087,-119.340553784
701 N. Stevenson ST. Visalia CA 93291-4811,36.3357113648,-119.299962907
1119 S. Chinowth RD. Visalia CA 93277-1611,36.320680642,-119.336243641
1200 N. Giddings ST. Visalia CA 93291-2851,36.3409213002,-119.305555138
1323 Clover DR. Visalia CA 93277-4221,36.3190701963,-119.321121022
2121 E. Laura AVE. Visalia CA 93292-1407,36.3111483868,-119.270142193
28050 RD. 148 Visalia CA 93292-9429,None,None
2021 S. Encina Visalia CA 93277-5349,36.312625865,-119.294825293
500 S. Garden Visalia CA 93277-2859,36.3248116553,-119.289983827
5100 W. Whitendale AVE. Visalia CA 93277-5604,36.3054920064,-119.346813411
900 S. Conyer ST. Visalia CA 93277-2535,36.3221713591,-119.300965266
2200 E. Tulare AVE. Visalia CA 93292-5288,36.3200582464,-119.266789486
310 N. Akers RD. Visalia CA 93291-5119,36.3318114889,-119.349625133
4445 W. Ferguson AVE. Visalia CA 93291,36.3490229256,-119.340848665
31411 RD. 160 Visalia CA 93292,36.3594311411,-119.216193668
1844 N. Burke ST. Visalia CA 93291-2217,36.3459874619,-119.283164896
2000 N. Lovers LN. Visalia CA 93292-3104,36.3465328854,-119.260967161
4222 S. Dans ST. Visalia CA 93277-7964,36.2930389582,-119.325826735
4230 W. Tulare AVE. Visalia CA 93277-8300,36.3200821603,-119.337709251
1821 W. Meadow LN. Visalia CA 93291,36.3220212803,-119.312926988
1700 N. Lovers LN. Visalia CA 93292-8013,36.3452029742,-119.26094462
3637 N. Ranch ST. Visalia CA 93291,36.359773763,-119.318411802
1111 Melrose Way Vista CA 92083-3404,33.1844998053,-117.25533716
2133 N. Leila ST. Visalia CA 93291,36.3494187802,-119.328459327
5657 Spur AVE. Oceanside CA 92056-3404,33.2460561349,-117.258109684
550 Beaumont DR. Vista CA 92084-6321,33.1984659727,-117.22483371
2245 S. Linwood Visalia CA 93277,36.3109799042,-119.340663345
2000 N. Santa Fe AVE. Vista CA 92083-1534,33.2303182608,-117.248829825
220 W. Bobier DR. Vista CA 92083-1903,33.2211201748,-117.247453181
4930 Lake BLVD. Oceanside CA 92056-4749,33.1733071813,-117.258614513
260 Cedar DR. Vista CA 92083-5108,33.189865408,-117.283927228
630 Grapevine RD. Vista CA 92083-5599,33.1992542006,-117.273689659
1720 Monte Vista RD. Vista CA 92084-7122,33.1903209955,-117.213002555
2245 Foothill DR. Vista CA 92084-6035,33.204143195,-117.204928699
836 Olive AVE. Vista CA 92083-3316,33.2046639555,-117.258488884
740 Olive AVE. Vista CA 92083-3396,33.2046639555,-117.256823343
5130 Alamosa Park DR. Oceanside CA 92057-6301,33.239406929,-117.280885532
1 Panther DR. Vista CA 92084-3101,33.2221045817,-117.24168397
4850 Avenida Empresa Oceanside CA 92056-3404,33.2230381742,-117.287685255
600 N. Santa Fe AVE. Vista CA 92083-3631,33.2075621188,-117.245059108
4950 Lake BLVD. Oceanside CA 92056-4749,33.172536393,-117.256104876
850 Sagewood DR. Oceanside CA 92057-6937,33.2351469034,-117.280717695
120 Hannalei DR. Vista CA 92083,33.1784809855,-117.21589304
2611 Temple Heights DR. Oceanside CA 92056-3582,33.2160484679,-117.269887555
1601 Longhorn DR. Vista CA 92081-3404,33.1646565908,-117.245800932
1370 Oak DR. Vista CA 92084,33.2179600524,-117.221850601
151 Civic Center DR. Vista CA 92084-6035,33.2036658375,-117.236316688
1126 N. Melrose DR. STE. 301 Vista CA 92083-8831,33.2123532417,-117.255707846
700 N. AVE. Vista CA 92084,33.2155661758,-117.257955261
9467 San Julian RD. Gaviota CA 93117-9728,34.473854409,-120.207755885
1550 Temple Heights DR. Oceanside CA 92056,33.2172011811,-117.270836299
1737 W. Vista Way Vista CA 92083,33.1893181174,-117.278430917
2000 N. Santa Fe AVE. Vista CA 92083-1534,33.2303182608,-117.248829825
4064 Walnut BLVD. Walnut Creek CA 94596-5463,37.8946756555,-122.038565043
2050 Vanderslice AVE. Walnut Creek CA 94596-5923,37.8822678279,-122.046387937
551 Marshall DR. Walnut Creek CA 94598-4908,37.9015464768,-122.032075352
1920 Magnolia Way Walnut Creek CA 94595-1715,37.8871874019,-122.06853734
2355 San Juan AVE. Walnut Creek CA 94597-3033,37.9129935514,-122.069169307
2425 Walnut BLVD. Walnut Creek CA 94597-3836,37.9096399435,-122.055191382
2975 Castle Rock RD. Diamond Bar CA 91765-3420,33.9717991812,-117.842863933
20725 E. Collegewood DR. Walnut Valley CA 91789-1118,34.0489005261,-117.852676544
1408 S. Spruce Tree DR. Diamond Bar CA 91765-2571,33.9964617087,-117.817068495
19875 E. Calle Baja Walnut CA 91789-2246,34.0116447416,-117.868313127
525 Suzanne RD. Walnut CA 91789-1938,34.0249134164,-117.849310791
841 S. Glenwick Walnut CA 91789-3108,34.0017033093,-117.853121934
20222 Vejar RD. Walnut CA 91789-2334,34.0170871598,-117.861760731
21400 Pathfinder RD. Diamond Bar CA 91765-2747,33.9840838223,-117.839005539
1350 Maple Hill RD. Diamond Bar CA 91765-2436,33.9965095032,-117.825897484
20671 Larkstone DR. Walnut CA 91789-3863,33.9907344365,-117.850869774
23330 E. Quail Summit DR. Diamond Bar CA 91765-3031,33.9960320837,-117.811574935
2450 S. Evergreen Springs Diamond Bar CA 91765-3566,33.9796795814,-117.835335713
305 Griffith AVE. Wasco CA 93280-1304,35.599555672,-119.340412075
1900 Seventh ST. Wasco CA 93280-0250,35.5943101837,-119.347140211
1323 Country Hollow Walnut CA 91789-1245,34.0408360374,-117.861007279
400 N. Pierre RD. Walnut CA 91789-2535,34.0222155078,-117.851676533
523 BRD.WAY AVE. Wasco CA 93280-1838,35.5913928666,-119.338179513
3501 Seventh ST. Wasco CA 93280-9533,35.5941985211,-119.365884704
1301 Filburn ST. Wasco CA 93280,35.5797367823,-119.340617612
130 E. Lincoln AVE. Fresno CA 93706-6043,36.6487877082,-119.788569795
1017 Palm AVE. Wasco CA 93280-2112,35.5904270667,-119.349326081
3255 Half Moon Bay CIR. West Sacramento CA 95691,38.5406249341,-121.568744228
1 Raider LN. West Sacramento CA 95691-3605,38.5434583462,-121.540389124
508 Poplar ST. West Sacramento CA 95691-2555,38.5851110251,-121.534644208
750 Cummins Way West Sacramento CA 95605-2511,38.5938781694,-121.521375772
1100 Clarendon ST. West Sacramento CA 95691-3622,38.5728810798,-121.535854032
2747 Linden RD. West Sacramento CA 95691,38.5509059172,-121.552678959
43 San Benancio RD. Salinas CA 93908-9133,36.5768031801,-121.717530436
2500 La Jolla ST. West Sacramento CA 95691-4947,38.552804761,-121.523903814
1504 Fallbrook ST. West Sacramento CA 95691-3622,38.5703355541,-121.533094048
340 Corral De Tierra RD. Salinas CA 93908-9133,36.5337381331,-121.716491872
1100 Carrie ST. West Sacramento CA 95605,38.5997279833,-121.53009513
2399 Sellers Way West Sacramento CA 95691-3046,38.5758834943,-121.541156045
22500 Portola DR. Salinas CA 93908-9112,36.5958772359,-121.703597226
19113 RD. 28 Tulare CA 93274-0086,36.1370238843,-119.510079385
2950 Gerard AVE. Merced CA 95341-5433,37.2804739451,-120.434558571
880 Maria DR. Petaluma CA 94954-6837,38.2658234834,-122.645533481
2101 E. Merced AVE. West Covina CA 91791-3537,34.0537941232,-117.901096461
3076 E. Childs AVE. Merced CA 95341-9583,37.2878238029,-120.432185757
575 White AVE. Weed CA 96094-2431,41.4287149286,-122.381179509
1851 Hartman LN. Petaluma CA 94954,38.275253885,-122.647299995
1225 E. Cameron AVE. West Covina CA 91790-3858,34.0612282529,-117.919468636
100 Winder AVE. Merced CA 95341-8855,37.2772358138,-120.482012574
1125 Bainbridge West Covina CA 91790-4856,34.05534697,-117.947218828
1545 E. Merced AVE. West Covina CA 91791-3555,34.0539180255,-117.913758687
1120 S. Valinda AVE. West Covina CA 91790-5361,34.0551301803,-117.925486287
1615 W. Eldred AVE. West Covina CA 91790-1460,34.0816577282,-117.940627736
2360 Shasta Way Unit A Simi Valley CA 93065,34.2763554626,-118.788621025
1901 E. Vine AVE. West Covina CA 91791-3248,34.0574682414,-117.905689697
1440 S. Orange AVE. West Covina CA 91790-3406,34.0616093829,-117.954219024
1609 E. Cameron AVE. West Covina CA 91791-3108,34.0611583207,-117.913808805
2695 S. Valentine AVE. Fresno CA 93706-9042,36.6932807932,-119.853453892
2021 W. Alwood ST. West Covina CA 91790,34.0618238406,-117.960332249
614 E. Vine West Covina CA 91790,34.0576733749,-117.932949199
9023 W. AVE. H Lancaster CA 93536-8011,34.7184029008,-118.290063375
1625 W. Durness West Covina CA 91790-3337,34.061347137,-117.953349536
1301 Trojan Way West Covina CA 91790,34.061289994,-117.949015296
5632 W. AVE. L-8 Lancaster CA 93536-3713,34.6528496018,-118.230178863
2360 Shasta Way STE. A Simi Valley CA 93065-1800,34.2763554626,-118.788621025
2695 S. Valentine AVE. Fresno CA 93706-9042,36.6932807932,-119.853453892
41820 N. 50th ST. W. Quartz Hill CA 93536-2961,34.6421822799,-118.218476584
40525 Peonza LN. Palmdale CA 93551-2647,34.6193596753,-118.209873226
6151 W. AVE. J-8 Lancaster CA 93536-4540,34.6820976457,-118.238978298
9063 W. Leona AVE. Leona Valley CA 93551-7330,34.6144390185,-118.290177446
40641 Peonza LN. Palmdale CA 93551-2648,34.6205019699,-118.209037906
2902 Greenbrier ST. Palmdale CA 93551,34.5629125535,-118.176042869
2740 W. AVE. P-8 Palmdale CA 93551-1543,34.5943443392,-118.178738083
3310 W. AVE. L-8 Lancaster CA 93536-3409,34.6528901945,-118.190372864
5151 W. AVE. N-8 Palmdale CA 93551,None,None
40521 35th ST. W. Palmdale CA 93551,34.61822757,-118.194630928
4730 H ST. Sheridan CA 95681-0268,58.421915217,8.122870021
2800 Nicolaus RD. STE. 100 Lincoln CA 95648-1757,38.8973983024,-121.329399548
1400 First ST. Lincoln CA 95648-1688,38.886560255,-121.300972194
2030 First ST. Lincoln CA 95648-2173,38.8867080271,-121.315929474
790 J ST. Lincoln CA 95648-1614,38.8956218194,-121.296644471
635 Groveland LN. Lincoln CA 95648,38.8790485471,-121.305252754
150 12th ST. Lincoln CA 95648-2058,38.9010588966,-121.285238216
2450 E.RIDGE DR. Lincoln CA 95648-8282,38.8466656932,-121.268700713
7122 Maple ST. Westminster CA 92683-5021,33.7536427382,-118.004348629
1561 Joiner PKWY. Lincoln CA 95648-2969,38.9066776619,-121.318753817
204 L ST. Lincoln CA 95648-1674,38.8878898783,-121.299164437
14782 Eden ST. Midway City CA 92655-1108,33.7491516867,-117.976123175
15400 Van Buren Midway City CA 92655-1660,33.7390833816,-117.986266072
8902 Hewitt PL. Garden Grove CA 92844-2630,33.7618434338,-117.974049415
13552 University Westminster CA 92683-2770,33.7653400348,-118.036056974
770 W.VIEW DR. Lincoln CA 95648-7823,38.8404668965,-121.283240626
13603 Edwards ST. Westminster CA 92683-3006,33.764980592,-118.015982484
